Operado,Cash_Total_USD,Total_Safe_Valuation,Total_Growth_Valuation,Patrimonio_USD
2023-01-10,0.20221847374189914,0.0,0.06232274120485146,0.2645412149467506
2023-01-12,0.10983350526873586,0.0,0.06232274120485146,0.17215624647358732
2023-01-13,0.028925214545139757,0.0,0.06232274120485146,0.09124795574999123
2023-01-25,0.011471881396891231,0.0,0.0,0.011471881396891231
2023-02-01,0.011291705462052486,0.0,0.0,0.011291705462052486
2023-02-04,0.09608038068028213,0.0,0.0,0.09608038068028213
2023-02-10,0.023209506737122305,0.0,0.0,0.023209506737122305
2023-02-17,0.026658620037328027,0.0,0.0,0.026658620037328027
2023-02-19,0.012861946089722001,0.0,0.0,0.012861946089722001
2023-02-24,0.012931415847125687,0.0,0.0,0.012931415847125687
2023-03-01,0.012709915021117905,0.0,0.0,0.012709915021117905
2023-03-04,-0.016906265713399635,0.0,0.0,-0.016906265713399635
2023-03-06,0.03938553587690237,0.0,0.0,0.03938553587690237
2023-03-07,0.012252744832767004,0.0,0.0,0.012252744832767004
2023-03-16,0.012464352369292338,0.0,0.0,0.012464352369292338
2023-03-17,-23.592576058178196,0.0,0.0,-23.592576058178196
2023-03-19,-23.605082317329103,0.0,0.0,-23.605082317329103
2023-03-20,-23.592953458379636,0.0,0.0,-23.592953458379636
2023-03-24,-0.8345265295833677,0.0,0.0,-0.8345265295833677
2023-03-27,-0.8345263193394312,0.0,0.0,-0.8345263193394312
2023-04-12,-0.8334791655000444,0.0,0.0,-0.8334791655000444
2023-04-13,-0.8334791655000444,0.0,0.0,-0.8334791655000444
2023-05-11,-100.36956165621396,0.0,0.0,-100.36956165621396
2023-06-01,-87.63434133618077,0.0,0.0,-87.63434133618077
2023-07-29,8.522889061138727,0.0,0.0,8.522889061138727
2023-07-31,8.60794170327746,0.0,0.0,8.60794170327746
2023-08-02,8.525630457585464,0.0,0.0,8.525630457585464
2023-08-10,8.526843604759181,0.0,0.0,8.526843604759181
2023-08-15,8.526843604759181,0.0,0.0,8.526843604759181
2023-08-17,8.526493247921781,0.0,0.0,8.526493247921781
2023-08-23,8.526493247921781,0.0,0.0,8.526493247921781
2023-08-29,-107.8508115517903,0.0,0.0,-107.8508115517903
2023-08-31,-76.23873989546718,0.0,0.0,-76.23873989546718
2023-09-19,-56.79676230195821,0.0,0.0,-56.79676230195821
2023-09-22,-25.18893131012075,0.0,0.0,-25.18893131012075
2023-10-04,8.760130529156664,0.0,0.0,8.760130529156664
2024-01-06,8.794120935331636,0.0,0.0,8.794120935331636
2024-01-08,8.768731351320667,0.0,0.0253895840109682,8.794120935331636
2024-01-10,8.743111620732751,0.0,0.05100931459888527,8.794120935331637
2024-01-15,8.768237906769635,0.0,0.0,8.768237906769635
2024-02-07,8.817142549615294,0.0,0.0,8.817142549615294
2024-02-08,8.83328303088167,0.0,0.0,8.83328303088167
2024-02-15,8.813185470791657,0.0,0.020097560090013355,8.83328303088167
2024-02-16,8.762582973099835,0.0,0.020097560090013355,8.782680533189849
2024-03-07,8.862971969012484,0.0,0.020097560090013355,8.883069529102498
2024-03-09,8.778773710360626,0.0,0.020097560090013355,8.79887127045064
2024-03-12,8.762586991708222,0.0,0.03628427874241834,8.79887127045064
2024-03-18,8.872586991708221,0.0,0.03628427874241834,8.90887127045064
2024-04-09,8.95460383117442,0.0,0.03628427874241834,8.990888109916838
2024-04-10,8.876912500051043,0.0,0.11397560986579632,8.99088810991684
2024-04-18,9.246912500051042,0.0,0.11397560986579632,9.36088810991684
2024-04-27,9.243105750029736,0.0,0.11397560986579632,9.357081359895533
2024-04-29,9.272629143511336,0.0,0.020097560090013355,9.29272670360135
2024-05-02,9.277636358339416,0.0,0.020097560090013355,9.29773391842943
2024-05-03,9.259477743179689,0.0,0.020097560090013355,9.279575303269702
2024-05-08,9.420119404781842,0.0,0.020097560090013355,9.440216964871855
2024-05-13,9.248737322147784,0.0,0.020097560090013355,9.268834882237798
2024-05-16,9.252330273217579,0.0,0.020097560090013355,9.272427833307592
2024-05-22,9.252810726784698,0.0,0.020097560090013355,9.272908286874712
2024-05-24,9.24655691804963,0.0,0.020097560090013355,9.266654478139642
2024-06-04,9.30655691804963,0.0,0.020097560090013355,9.326654478139643
2024-06-05,9.307014406827788,0.0,0.020097560090013355,9.327111966917801
2024-06-07,9.436531028729119,0.0,0.020097560090013355,9.456628588819132
2024-06-11,9.313181645404567,0.0,0.020097560090013355,9.33327920549458
2024-06-12,9.306255252412319,0.0,0.027023953082261284,9.33327920549458
2024-06-28,9.33467694008725,0.0,0.0,9.33467694008725
2024-07-01,9.307634800300105,0.0,0.0,9.307634800300105
2024-07-05,9.520058339004542,0.0,0.0,9.520058339004542
2024-07-10,9.309472102072682,0.0,0.0,9.309472102072682
2024-07-24,9.310907081796449,0.0,0.0,9.310907081796449
