,AL30,SNSBO,LK01Q,AE38,GD30,BMACTAA,GD35,Cash_MEP,Cash_ARS,Cash_CCL,ECOG,BIOX,FIPL,ERIC,PAAS,DGCU2,TECO2,CVH,ALGIIIA,TSLA,BPAT,YPFD,EDN,LAR,SH,UBT,SPY,VIST,KO,GBAN,METR,COIN,CEPU,AAPL,AUSO,BULMAAA,XLP,SAMI,SHY,HMY,GOOGL,PSQ,ASML,LLY,ARKK,BULL-IA,PAMP,SUPV,GGAL,ARGT,META,TRAN,VALE,TLT,CRES,SAN,ALUA,INTC,ADBE,MIRG,MELI,BBD,RIGAHOR,UNH,MSFT,VARIAS,BYMA,TXAR
2023-01-20,0.0,,,0.0,0.0,0.0,0.0,0.0,17.633977903970855,0.0,,,0.0,0.0,26.12022930479697,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.000428275413551,0.0,0.0,0.0,0.0,17.530368711505222,0.0,7.450697422027588,0.0,0.0,0.0,0.0,0.0,0.0,11.312113532011143,0.0,10.285681758390707,0.0,52.548231811523436,8.695954783947556,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.242168426513672,56.787718534192486,0.0,0.0,0.0,0.0,0.0
2023-01-21,0.0,,,0.0,0.0,0.0,0.0,0.0,17.633977903970855,0.0,,,0.0,0.0,26.12022930479697,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.000428275413551,0.0,0.0,0.0,0.0,17.530368711505222,0.0,7.450697422027588,0.0,0.0,0.0,0.0,0.0,0.0,11.312113532011143,0.0,10.285681758390707,0.0,52.548231811523436,8.695954783947556,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.242168426513672,56.787718534192486,0.0,0.0,0.0,0.0,0.0
2023-01-22,0.0,,,0.0,0.0,0.0,0.0,0.0,17.633977903970855,0.0,,,0.0,0.0,26.12022930479697,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.000428275413551,0.0,0.0,0.0,0.0,17.530368711505222,0.0,7.450697422027588,0.0,0.0,0.0,0.0,0.0,0.0,11.312113532011143,0.0,10.285681758390707,0.0,52.548231811523436,8.695954783947556,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.242168426513672,56.787718534192486,0.0,0.0,0.0,0.0,0.0
2023-01-23,0.0,,,0.0,0.0,0.0,0.0,0.0,17.553952232518512,0.0,,,0.0,0.0,25.719069301239237,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.067830616083306,0.0,0.0,0.0,0.0,17.45081323431312,0.0,7.411891460418701,0.0,0.0,0.0,0.0,0.0,0.0,11.244948763720496,0.0,10.158512428344924,0.0,54.018690795898436,9.07367190809219,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.881660461425781,56.530007237813805,0.0,0.0,0.0,0.0,0.0
2023-01-24,0.0,,,0.0,0.0,0.0,0.0,0.0,17.785627313307007,0.0,,,0.0,0.0,26.36776956194696,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.383463515180063,0.0,0.0,0.0,0.0,17.440567545884413,0.0,7.295474052429199,0.0,0.0,0.0,0.0,0.0,0.0,11.501037646021642,0.0,10.121110081458673,0.0,53.96966583251953,9.425902385987799,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.11107349395752,57.27608389453009,0.0,0.0,0.0,0.0,0.0
2023-01-25,0.0,,,0.0,0.0,0.0,0.0,0.0,0.18147376830266074,0.0,,,0.0,0.0,26.47355032774017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.588979523512545,0.0,0.0,0.0,0.0,18.008240315685722,0.0,7.334280014038086,0.0,0.0,0.0,0.0,0.0,0.0,11.789689970155647,0.0,10.510098889680759,0.0,53.35132507324219,10.184180049701329,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.11107349395752,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-26,0.0,,,0.0,0.0,0.0,0.0,0.0,0.17844500642559477,0.0,,,0.0,0.0,25.741349527104827,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.60694945896495,0.0,0.0,0.0,0.0,17.59041684370595,0.0,7.276071071624756,0.0,0.0,0.0,0.0,0.0,0.0,11.548248264375843,0.0,10.397889141209928,0.0,55.538157348632815,10.426315769969097,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.176621437072754,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-27,0.0,,,0.0,0.0,0.0,0.0,0.0,0.1766385996407907,0.0,,,0.0,0.0,25.326000362232364,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.2858951494074775,0.0,0.0,0.0,0.0,17.644512910449194,0.0,6.965625762939453,0.0,0.0,0.0,0.0,0.0,0.0,11.143902890810017,0.0,9.958627212504569,0.0,57.21223663330078,10.198388646510915,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.816112518310547,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-28,0.0,,,0.0,0.0,0.0,0.0,0.0,0.1766385996407907,0.0,,,0.0,0.0,25.326000362232364,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.2858951494074775,0.0,0.0,0.0,0.0,17.644512910449194,0.0,6.965625762939453,0.0,0.0,0.0,0.0,0.0,0.0,11.143902890810017,0.0,9.958627212504569,0.0,57.21223663330078,10.198388646510915,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.816112518310547,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-29,0.0,,,0.0,0.0,0.0,0.0,0.0,0.1766385996407907,0.0,,,0.0,0.0,25.326000362232364,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.2858951494074775,0.0,0.0,0.0,0.0,17.644512910449194,0.0,6.965625762939453,0.0,0.0,0.0,0.0,0.0,0.0,11.143902890810017,0.0,9.958627212504569,0.0,57.21223663330078,10.198388646510915,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.816112518310547,0.0,0.0,0.0,0.0,0.0,0.0
